number of nodes,number of edges,depth,width,diameter
3,2,1,2,2
12,11,5,3,7
14,13,7,3,8
6,5,3,2,3
9,8,4,3,6
40,39,14,5,16
67,66,23,5,26
64,63,30,5,33
18,17,6,4,7
21,20,8,4,10
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
20,19,7,5,9
6,5,2,3,4
10,9,3,4,5
7,6,2,4,4
7,6,2,4,4
14,13,6,4,7
7,6,2,4,4
7,6,2,4,4
10,9,3,4,5
8,7,4,3,5
34,33,9,7,16
34,33,9,7,16
24,23,8,5,13
14,13,6,3,7
5,4,2,2,3
25,24,10,4,12
21,20,10,3,11
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
3,2,1,2,2
9,8,5,3,6
9,8,5,3,6
4,3,2,2,3
6,5,3,3,4
3,2,1,2,2
6,5,3,3,4
3,2,1,2,2
6,5,3,3,4
3,2,1,2,2
3,2,1,2,2
8,7,3,3,4
9,8,4,4,6
11,10,4,4,7
9,8,4,4,6
16,15,7,4,8
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
107,106,20,14,24
8,7,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
14,13,5,4,8
8,7,3,4,5
16,15,8,3,9
15,14,7,3,8
12,11,5,3,7
6,5,3,3,4
12,11,4,4,7
8,7,4,3,5
18,17,8,3,10
30,29,11,4,12
8,7,3,3,4
12,11,6,3,7
6,5,3,3,4
10,9,5,3,6
23,22,8,5,11
15,14,6,3,7
8,7,3,3,4
17,16,7,4,9
8,7,3,3,4
16,15,8,3,9
3,2,1,2,2
6,5,2,3,4
11,10,5,3,6
6,5,2,3,4
12,11,5,3,7
6,5,2,3,4
6,5,3,3,4
13,12,7,3,8
1,0,1,1,-1
6,5,3,3,4
3,2,1,2,2
6,5,3,3,4
9,8,5,3,6
1,0,1,1,-1
6,5,2,3,4
6,5,3,3,4
6,5,3,3,4
13,12,7,3,8
1,0,1,1,-1
6,5,3,3,4
3,2,1,2,2
1,0,1,1,-1
25,24,10,5,10
57,56,13,10,16
25,24,10,5,12
61,60,24,6,26
51,50,21,6,22
271,270,100,18,102
8,7,2,6,3
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,3,4,5
1,0,1,1,-1
18,17,7,5,9
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
25,24,9,6,11
18,17,7,5,8
1,0,1,1,-1
52,51,13,8,19
5,4,2,3,3
15,14,5,5,8
17,16,5,6,9
17,16,5,6,9
15,14,5,5,8
15,14,5,5,8
5,4,2,3,3
15,14,5,5,8
17,16,5,6,9
17,16,5,6,9
15,14,5,5,8
15,14,5,5,8
5,4,2,3,3
15,14,5,5,8
17,16,5,6,9
17,16,5,6,9
15,14,5,5,8
5,4,2,3,3
15,14,5,5,8
17,16,5,6,9
17,16,5,6,9
17,16,5,6,9
15,14,5,5,8
15,14,5,5,8
5,4,2,3,3
15,14,5,5,8
17,16,5,6,9
17,16,5,6,9
15,14,5,5,8
5,4,2,3,3
15,14,5,5,8
17,16,5,6,9
17,16,5,6,9
15,14,5,5,8
15,14,5,5,8
5,4,2,3,3
15,14,5,5,8
17,16,5,6,9
17,16,5,6,9
15,14,5,5,8
15,14,5,5,8
5,4,2,3,3
15,14,5,5,8
17,16,5,6,9
17,16,5,6,9
15,14,5,5,8
15,14,5,5,8
5,4,2,3,3
15,14,5,5,8
15,14,5,5,8
17,16,5,6,9
17,16,5,6,9
17,16,5,6,9
15,14,5,5,8
15,14,5,5,8
5,4,2,3,3
15,14,5,5,8
17,16,5,6,9
17,16,5,6,9
15,14,5,5,8
15,14,5,5,8
15,14,5,5,8
5,4,2,3,3
17,16,5,6,9
15,14,5,5,8
17,16,5,6,9
17,16,5,6,9
15,14,5,5,8
15,14,5,5,8
5,4,2,3,3
17,16,5,6,9
15,14,5,5,8
17,16,5,6,9
17,16,5,6,9
17,16,5,6,9
15,14,5,5,8
15,14,5,5,8
1,0,1,1,-1
10,9,2,8,3
1,0,1,1,-1
23,22,10,3,11
1,0,1,1,-1
6,5,2,3,4
8,7,3,3,4
24,23,11,3,12
3,2,1,2,2
3,2,1,2,2
22,21,4,12,5
12,11,6,3,7
12,11,6,3,7
8,7,2,5,3
30,29,5,14,7
7,6,3,2,4
16,15,4,10,5
1,0,1,1,-1
3,2,1,2,2
46,45,10,9,13
29,28,10,5,13
160,159,17,38,19
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
35,34,8,12,9
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
10,9,5,3,6
1,0,1,1,-1
6,5,3,3,4
18,17,8,3,9
4,3,2,2,3
1,0,1,1,-1
1,0,1,1,-1
61,60,12,8,20
23,22,10,4,11
38,37,12,5,16
1,0,1,1,-1
6,5,2,3,4
6,5,2,3,4
18,17,7,4,8
49,48,14,9,19
23,22,10,4,11
19,18,8,3,10
3,2,1,2,2
6,5,3,3,4
26,25,11,4,12
20,19,9,4,10
29,28,9,8,12
18,17,8,4,9
20,19,6,5,8
47,46,10,11,12
19,18,7,5,9
5,4,2,2,3
24,23,10,4,11
17,16,7,3,9
6,5,3,3,4
44,43,17,4,19
19,18,7,4,9
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
39,38,12,5,14
10,9,5,3,6
6,5,3,3,4
6,5,3,3,4
13,12,5,3,6
19,18,7,6,9
19,18,7,6,9
20,19,6,6,7
9,8,4,3,5
8,7,4,3,5
8,7,4,3,5
3,2,1,2,2
8,7,4,3,5
6,5,3,3,4
8,7,4,3,5
5,4,2,3,3
10,9,5,3,6
23,22,9,4,10
6,5,2,3,4
13,12,6,3,7
13,12,6,3,7
6,5,2,3,4
12,11,6,4,8
9,8,3,4,5
14,13,7,3,8
6,5,2,3,4
6,5,2,3,4
33,32,9,6,10
51,50,18,6,22
12,11,6,3,7
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
78,77,27,7,32
3,2,1,2,2
54,53,21,4,22
13,12,5,3,7
6,5,2,3,4
6,5,2,3,4
12,11,3,5,6
3,2,1,2,2
27,26,10,6,14
13,12,4,4,7
4,3,2,2,3
21,20,8,4,11
3,2,1,2,2
41,40,10,7,18
39,38,10,7,18
1,0,1,1,-1
31,30,8,6,13
10,9,3,4,6
3,2,1,2,2
16,15,5,5,9
20,19,6,5,9
22,21,7,6,8
18,17,7,4,8
20,19,7,5,8
8,7,4,3,5
6,5,2,3,4
8,7,4,3,5
8,7,3,3,5
18,17,8,3,9
27,26,11,5,13
6,5,2,3,4
8,7,3,3,5
29,28,12,5,13
3,2,1,2,2
3,2,1,2,2
26,25,8,5,10
3,2,1,2,2
12,11,6,3,7
17,16,7,3,8
50,49,20,4,21
27,26,12,3,14
22,21,9,5,10
8,7,3,3,5
24,23,8,6,9
35,34,13,4,14
6,5,2,3,4
83,82,13,12,24
1,0,1,1,-1
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
12,11,5,3,7
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
5,4,2,2,3
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
11,10,5,3,7
6,5,2,3,4
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
558,557,126,10,130
9,8,4,3,5
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
9,8,4,3,5
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
1,0,1,1,-1
4,3,2,2,3
1,0,1,1,-1
6,5,3,3,4
4,3,2,2,3
1,0,1,1,-1
52,51,16,6,20
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
49,48,14,7,18
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
50,49,13,8,17
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
32,31,15,4,17
1,0,1,1,-1
6,5,3,2,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
29,28,7,7,11
45,44,14,7,17
18,17,9,3,10
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
10,9,4,5,6
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
61,60,14,10,19
1,0,1,1,-1
35,34,10,9,13
35,34,10,9,13
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
9,8,5,3,6
5,4,2,3,3
12,11,6,3,7
22,21,9,5,10
8,7,3,3,5
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
33,32,11,6,12
11,10,5,3,6
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
40,39,17,4,19
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
10,9,4,3,5
1,0,1,1,-1
21,20,9,4,11
4,3,2,2,3
25,24,11,4,13
48,47,15,6,16
20,19,8,4,10
40,39,19,3,20
52,51,16,7,21
3,2,1,2,2
33,32,14,4,15
43,42,21,4,23
29,28,7,8,13
6,5,2,3,4
21,20,9,5,10
81,80,36,6,37
1,0,1,1,-1
1,0,1,1,-1
14,13,5,5,7
1,0,1,1,-1
51,50,21,6,23
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
10,9,4,3,5
167,166,37,9,45
200,199,64,8,67
20,19,8,5,10
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
81,80,34,5,35
6,5,3,3,4
33,32,10,6,16
21,20,9,5,11
17,16,8,4,9
9,8,4,4,6
70,69,19,8,21
3,2,1,2,2
4,3,2,2,3
136,135,25,15,37
13,12,5,4,7
13,12,6,3,7
67,66,20,7,24
62,61,27,6,28
1,0,1,1,-1
106,105,42,6,43
201,200,47,13,50
48,47,12,9,15
125,124,29,11,42
1,0,1,1,-1
3,2,1,2,2
19,18,9,4,10
1,0,1,1,-1
1,0,1,1,-1
43,42,16,5,17
42,41,14,6,18
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
169,168,36,9,37
8,7,4,3,5
6,5,3,3,4
22,21,10,3,11
1,0,1,1,-1
5,4,2,3,3
53,52,13,8,19
20,19,10,3,11
9,8,4,3,5
31,30,7,18,8
220,219,109,3,110
32,31,7,19,9
33,32,3,27,5
9,8,4,3,5
9,8,4,3,5
176,175,87,3,88
24,23,12,3,14
277,276,31,18,50
5,4,2,3,3
1,0,1,1,-1
5,4,2,3,3
1,0,1,1,-1
5,4,2,3,3
1,0,1,1,-1
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
5,4,2,3,3
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
36,35,8,7,11
1,0,1,1,-1
46,45,12,6,20
20,19,10,3,11
1522,1521,760,3,761
23,22,8,7,9
9,8,4,3,5
9,8,4,3,5
9,8,4,3,5
9,8,4,3,5
9,8,4,3,5
9,8,4,3,5
82,81,28,6,29
131,130,33,9,34
12,11,5,3,7
20,19,6,5,11
39,38,8,9,14
6,5,2,3,4
11,10,4,4,5
45,44,12,8,16
22,21,11,3,12
76,75,18,8,29
30,29,13,4,13
87,86,23,8,32
30,29,13,4,13
22,21,10,3,12
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
21,20,9,3,11
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
17,16,8,3,10
1,0,1,1,-1
1,0,1,1,-1
21,20,6,6,11
10,9,4,3,5
14,13,6,3,7
153,152,42,8,44
81,80,20,7,23
42,41,17,5,18
13,12,5,4,7
10,9,4,3,5
8,7,4,3,5
16,15,7,3,8
27,26,7,7,11
22,21,8,5,12
117,116,32,10,33
59,58,24,5,25
1,0,1,1,-1
23,22,6,6,11
1,0,1,1,-1
10,9,4,3,5
25,24,6,7,9
1,0,1,1,-1
10,9,4,3,5
52,51,14,6,19
135,134,19,11,33
19,18,8,4,9
42,41,19,5,20
6,5,2,3,4
11,10,4,4,6
9,8,4,3,5
11,10,4,4,6
10,9,4,3,5
111,110,31,8,41
6,5,2,3,4
11,10,4,4,6
8,7,3,3,5
99,98,26,12,27
24,23,10,5,13
18,17,8,4,10
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
11,10,5,3,6
25,24,8,5,11
61,60,14,8,18
14,13,5,5,8
38,37,10,7,15
1,0,1,1,-1
86,85,15,11,28
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
10,9,4,3,5
53,52,22,5,23
6,5,3,3,4
53,52,16,6,17
22,21,6,7,11
14,13,6,5,7
30,29,9,6,13
6,5,2,3,4
1,0,1,1,-1
4,3,2,2,3
1,0,1,1,-1
72,71,21,7,27
1,0,1,1,-1
13,12,5,4,6
1,0,1,1,-1
14,13,6,3,8
1,0,1,1,-1
14,13,6,3,8
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
105,104,28,9,30
9,8,4,3,5
136,135,41,9,42
10,9,4,3,6
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
15,14,6,3,8
1,0,1,1,-1
82,81,41,3,42
6,5,3,2,4
25,24,10,5,12
19,18,8,3,9
6,5,2,3,4
1,0,1,1,-1
121,120,31,11,35
63,62,17,7,19
18,17,8,3,10
12,11,5,3,7
6,5,2,3,4
3,2,1,2,2
30,29,14,3,15
29,28,10,6,11
333,332,46,40,47
81,80,21,9,25
15,14,7,3,8
10,9,4,3,5
30,29,14,3,16
24,23,7,5,12
11,10,5,3,6
32,31,11,5,12
31,30,12,5,13
29,28,12,4,13
12,11,6,3,8
80,79,40,3,41
26,25,8,5,14
29,28,12,4,14
45,44,20,4,21
62,61,24,5,25
12,11,5,3,7
18,17,8,3,10
8,7,3,3,5
35,34,13,5,15
6,5,2,3,4
6,5,2,3,4
9,8,3,4,5
13,12,4,4,7
45,44,22,3,23
6,5,2,3,4
11,10,4,5,6
6,5,3,2,4
13,12,5,4,7
23,22,9,5,13
13,12,5,4,7
13,12,6,3,8
3,2,1,2,2
13,12,5,4,7
13,12,6,3,7
13,12,5,4,7
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
12,11,5,3,7
6,5,3,3,4
19,18,5,5,10
23,22,8,5,11
117,116,26,9,33
11,10,4,3,6
12,11,6,3,7
66,65,27,6,34
50,49,23,4,24
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
13,12,4,4,6
16,15,6,4,9
34,33,10,7,16
21,20,9,3,10
25,24,8,6,13
54,53,18,5,22
37,36,9,6,17
9,8,5,3,6
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
4,3,2,2,3
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
10,9,3,5,5
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
6,5,2,3,4
6,5,2,3,4
10,9,4,3,6
1,0,1,1,-1
8,7,3,3,5
12,11,4,4,7
8,7,3,3,5
13,12,5,3,7
13,12,5,3,7
13,12,5,3,7
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
8,7,3,3,5
13,12,5,3,6
13,12,5,3,6
13,12,5,3,6
13,12,5,3,6
13,12,5,3,6
13,12,5,3,6
13,12,5,3,6
3,2,1,2,2
21,20,7,5,9
25,24,9,5,11
1,0,1,1,-1
1,0,1,1,-1
38,37,8,9,14
50,49,16,7,19
1,0,1,1,-1
1,0,1,1,-1
15,14,6,3,8
6,5,2,3,4
60,59,25,5,27
6,5,3,3,4
1,0,1,1,-1
92,91,16,11,21
3,2,1,2,2
1,0,1,1,-1
24,23,11,3,13
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
39,38,11,7,17
408,407,50,17,58
1,0,1,1,-1
30,29,10,5,13
47,46,11,9,18
37,36,7,9,14
21,20,9,3,11
173,172,67,8,69
199,198,62,9,63
14,13,6,3,8
21,20,6,6,8
10,9,4,3,6
16,15,7,3,9
19,18,8,3,10
6,5,2,3,4
6,5,2,3,4
10,9,4,3,6
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
9,8,4,3,5
28,27,8,6,10
15,14,5,5,8
28,27,9,5,14
6,5,2,3,4
20,19,7,5,9
56,55,27,3,28
17,16,8,3,9
24,23,11,4,13
25,24,10,5,13
26,25,10,5,12
6,5,2,3,4
14,13,7,3,8
16,15,7,4,9
72,71,25,5,29
14,13,5,5,8
54,53,20,6,21
99,98,34,6,36
75,74,21,9,26
181,180,31,14,40
8,7,4,3,5
3,2,1,2,2
6,5,3,3,4
8,7,4,3,5
10,9,5,3,6
8,7,4,3,5
3,2,1,2,2
3,2,1,2,2
8,7,4,3,5
3,2,1,2,2
8,7,4,3,5
10,9,5,3,6
6,5,3,3,4
3,2,1,2,2
8,7,4,3,5
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
15,14,7,3,8
43,42,15,8,16
223,222,26,14,35
13,12,4,4,6
35,34,9,6,17
33,32,15,4,16
20,19,8,4,9
24,23,10,4,12
6,5,3,3,4
10,9,4,3,6
6,5,2,3,4
10,9,4,3,5
17,16,7,4,8
37,36,13,5,15
43,42,9,8,17
10,9,4,3,5
62,61,22,6,24
6,5,3,3,4
26,25,11,5,13
6,5,2,3,4
40,39,14,6,15
33,32,14,5,16
8,7,3,3,5
8,7,4,3,5
18,17,8,3,9
8,7,3,3,5
22,21,10,4,12
1,0,1,1,-1
1,0,1,1,-1
55,54,20,7,22
1,0,1,1,-1
35,34,12,6,14
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
59,58,24,6,25
1,0,1,1,-1
1,0,1,1,-1
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
10,9,4,3,6
33,32,14,4,16
45,44,18,5,20
5,4,2,3,3
8,7,3,3,4
8,7,3,3,5
45,44,14,6,20
40,39,15,5,18
22,21,9,4,11
11,10,4,3,6
13,12,5,4,7
11,10,5,3,6
13,12,5,4,7
40,39,15,5,18
12,11,4,4,7
13,12,5,4,7
13,12,5,3,7
30,29,8,5,14
8,7,3,3,5
8,7,3,3,5
22,21,11,3,12
24,23,11,4,13
35,34,17,4,18
34,33,17,3,18
18,17,9,3,10
40,39,16,5,17
48,47,20,5,21
34,33,14,4,15
18,17,9,3,10
8,7,3,3,5
8,7,3,3,5
18,17,9,3,10
18,17,9,3,10
1,0,1,1,-1
18,17,9,3,10
66,65,20,6,33
34,33,13,5,18
15,14,7,3,8
24,23,8,5,13
1,0,1,1,-1
24,23,8,5,13
82,81,24,7,25
65,64,24,7,25
12,11,5,3,7
23,22,8,5,11
10,9,4,3,6
32,31,13,5,14
58,57,15,9,17
51,50,18,5,20
10,9,4,3,5
50,49,20,6,22
10,9,4,3,5
32,31,11,5,14
12,11,5,3,7
49,48,18,5,20
59,58,22,7,23
206,205,29,13,40
16,15,7,4,9
14,13,6,4,8
55,54,15,7,17
1,0,1,1,-1
10,9,4,3,6
46,45,11,9,13
32,31,13,5,15
8,7,3,3,5
115,114,26,10,32
1,0,1,1,-1
35,34,17,4,18
67,66,13,10,26
68,67,17,8,19
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
95,94,24,9,29
47,46,14,7,16
106,105,17,13,24
29,28,8,7,12
311,310,52,13,57
72,71,14,11,19
239,238,39,34,40
19,18,8,4,9
35,34,11,5,13
13,12,5,4,7
18,17,7,5,10
31,30,10,5,12
8,7,3,3,5
13,12,5,4,7
102,101,23,9,29
59,58,19,7,26
89,88,26,8,28
12,11,5,3,7
29,28,13,4,15
69,68,29,4,32
10,9,2,7,3
37,36,16,5,17
261,260,78,7,79
12,11,5,3,7
183,182,82,7,84
26,25,10,4,12
40,39,15,4,18
205,204,76,7,77
18,17,7,4,9
17,16,7,3,9
11,10,4,4,7
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
10,9,4,5,6
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
3,2,1,2,2
18,17,7,5,8
99,98,28,9,29
33,32,15,4,16
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
6,5,2,3,4
12,11,5,3,7
14,13,6,3,7
18,17,8,3,10
1,0,1,1,-1
16,15,7,3,8
3,2,1,2,2
6,5,2,3,4
3,2,1,2,2
8,7,3,3,5
11,10,5,3,6
18,17,8,3,10
18,17,8,3,9
1,0,1,1,-1
10,9,4,3,6
24,23,11,3,12
32,31,15,3,16
8,7,3,4,5
50,49,19,5,22
22,21,9,3,10
3,2,1,2,2
8,7,3,3,5
1,0,1,1,-1
14,13,6,3,8
37,36,12,7,14
8,7,3,4,5
3,2,1,2,2
8,7,3,3,5
31,30,14,4,15
43,42,15,6,16
28,27,13,3,14
8,7,3,3,5
1,0,1,1,-1
12,11,5,3,7
1,0,1,1,-1
65,64,18,8,23
1,0,1,1,-1
5,4,2,3,3
8,7,4,3,5
3,2,1,2,2
31,30,14,3,15
17,16,8,4,9
1,0,1,1,-1
12,11,5,4,6
11,10,4,3,6
91,90,20,10,27
23,22,10,5,11
1,0,1,1,-1
14,13,6,4,8
11,10,5,4,6
11,10,5,4,6
573,572,78,20,79
12,11,5,3,7
1,0,1,1,-1
3,2,1,2,2
67,66,19,7,20
18,17,8,3,9
80,79,21,7,36
1,0,1,1,-1
1,0,1,1,-1
24,23,8,9,9
8,7,2,6,3
12,11,2,10,3
14,13,3,10,5
3,2,1,2,2
37,36,12,6,13
28,27,11,4,12
13,12,6,3,7
10,9,4,3,6
6,5,3,3,4
14,13,6,3,8
37,36,12,6,13
1,0,1,1,-1
12,11,5,3,7
29,28,7,7,13
8,7,4,3,5
3,2,1,2,2
29,28,12,4,13
79,78,34,5,35
64,63,24,6,25
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
44,43,20,5,22
3,2,1,2,2
44,43,20,5,22
3,2,1,2,2
44,43,20,5,22
3,2,1,2,2
44,43,20,5,22
3,2,1,2,2
44,43,20,5,22
3,2,1,2,2
44,43,20,5,22
3,2,1,2,2
10,9,4,3,5
3,2,1,2,2
14,13,6,3,7
1,0,1,1,-1
10,9,4,3,5
1,0,1,1,-1
41,40,18,6,19
3,2,1,2,2
41,40,18,4,20
3,2,1,2,2
29,28,13,3,15
3,2,1,2,2
54,53,17,8,19
3,2,1,2,2
29,28,13,3,15
3,2,1,2,2
29,28,13,3,15
3,2,1,2,2
18,17,8,3,9
3,2,1,2,2
45,44,18,7,19
3,2,1,2,2
18,17,8,3,9
3,2,1,2,2
18,17,8,3,9
3,2,1,2,2
18,17,8,3,9
3,2,1,2,2
18,17,8,3,9
3,2,1,2,2
10,9,4,3,5
3,2,1,2,2
14,13,6,3,7
1,0,1,1,-1
10,9,4,3,5
1,0,1,1,-1
10,9,4,3,5
1,0,1,1,-1
10,9,4,3,5
1,0,1,1,-1
14,13,6,3,7
1,0,1,1,-1
18,17,8,3,9
3,2,1,2,2
45,44,18,7,19
3,2,1,2,2
18,17,8,3,9
3,2,1,2,2
18,17,8,3,9
3,2,1,2,2
18,17,8,3,9
3,2,1,2,2
18,17,8,3,9
3,2,1,2,2
10,9,4,3,5
3,2,1,2,2
10,9,4,3,5
3,2,1,2,2
10,9,4,3,5
3,2,1,2,2
10,9,4,3,5
3,2,1,2,2
10,9,4,3,5
3,2,1,2,2
10,9,4,3,5
3,2,1,2,2
14,13,6,3,7
1,0,1,1,-1
14,13,6,5,7
1,0,1,1,-1
6,5,2,3,4
8,7,3,3,5
62,61,14,9,16
11,10,5,3,6
69,68,18,7,21
14,13,6,3,7
1,0,1,1,-1
6,5,2,3,4
75,74,24,7,26
14,13,6,4,8
15,14,6,3,7
43,42,19,4,20
15,14,6,3,7
8,7,3,3,5
1,0,1,1,-1
10,9,4,3,6
1,0,1,1,-1
17,16,6,5,9
1,0,1,1,-1
6,5,3,3,4
232,231,33,14,40
6,5,2,3,4
3,2,1,2,2
8,7,3,3,5
13,12,5,3,6
46,45,12,7,15
22,21,10,3,11
1,0,1,1,-1
21,20,10,3,12
33,32,11,5,13
49,48,11,7,19
83,82,30,7,31
1,0,1,1,-1
3,2,1,2,2
8,7,3,3,5
57,56,17,7,19
13,12,5,3,6
8,7,4,3,5
22,21,10,3,11
3,2,1,2,2
6,5,2,3,4
6,5,3,3,4
30,29,9,5,15
6,5,3,3,4
36,35,16,5,17
3,2,1,2,2
1,0,1,1,-1
32,31,10,5,13
1,0,1,1,-1
9,8,5,3,6
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,5
27,26,10,8,12
8,7,4,3,5
18,17,8,3,9
